time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-12-07T09:30:20.017Z,38.1425,-117.9697,10.9,2.5,ml,30,76.26,0.009,0.1532,nn,nn00829495,2021-12-07T17:54:12.653Z,"30 km SSE of Mina, Nevada",earthquake,,0.6,0.29,15,reviewed,nn,nn
2021-12-07T07:11:22.480Z,35.9868333,-116.0806667,2.74,3.12,ml,17,50,0.1802,0.18,ci,ci39881343,2021-12-07T16:58:13.374Z,"17km E of Shoshone, CA",earthquake,0.22,0.96,0.155,96,reviewed,ci,ci
2021-12-07T06:29:11.480Z,38.5115013,-119.5401688,4.16,2.8,md,17,68,0.08032,0.1,nc,nc73660671,2021-12-07T17:35:29.190Z,"5km W of Walker, CA",earthquake,0.26,1.29,0.18,18,automatic,nc,nc
2021-12-07T05:13:52.555Z,36.2867,-97.519,7.92,2.9,ml,,39,0.21,0.15,us,us6000g9yh,2021-12-07T12:45:09.715Z,"5 km WNW of Lucien, Oklahoma",earthquake,1.2,1.3,0.045,66,reviewed,us,us
2021-12-07T02:57:23.262Z,31.66964514,-104.4064319,6.388647461,3.7,ml,36,85,0.08043279898,0.2,tx,tx2021xxkx,2021-12-07T15:41:05.040Z,"56 km S of Whites City, New Mexico",earthquake,0.8008502732000001,1.007267452,0.2,25,reviewed,tx,tx
2021-12-06T17:45:04.840Z,35.7156667,-117.5718333,6.79,2.55,ml,29,66,0.102,0.17,ci,ci39880583,2021-12-07T02:36:56.859Z,"14km NE of Ridgecrest, CA",earthquake,0.26,0.76,0.195,24,automatic,ci,ci
2021-12-06T16:22:07.740Z,39.415,-110.2753333,-3.39,2.77,ml,6,253,0.03961,0.16,uu,uu60470897,2021-12-06T18:51:54.872Z,"",earthquake,2.98,3.25,0.774,2,reviewed,uu,uu
2021-12-06T08:40:05.508Z,24.7524,-109.2203,10,4,mb,,163,3.731,0.76,us,us6000g9fh,2021-12-06T15:08:51.040Z,"94 km SSW of El Huitusi, Mexico",earthquake,5.3,1.9,0.071,53,reviewed,us,us
2021-12-05T21:21:01.570Z,48.6986666666667,-120.236166666667,9.6,3.14,ml,27,87,0.25,0.27,uw,uw61803056,2021-12-07T04:33:50.040Z,"24 km N of Winthrop, Washington",earthquake,0.59,1.84,0.130392052020544,11,reviewed,uw,uw
2021-12-05T17:37:21.631Z,30.0065,-113.7676,10,4.8,mb,,91,1.389,1.17,us,us6000g9b3,2021-12-05T18:05:35.040Z,"104 km W of La Libertad, Mexico",earthquake,5.6,1.9,0.053,110,reviewed,us,us
2021-12-05T17:34:01.312Z,31.67394465,-104.3811696,7.159887695,2.5,ml,22,57,0.1021010386,0.2,tx,tx2021xuwu,2021-12-06T19:14:37.795Z,"55 km S of Whites City, New Mexico",earthquake,1.048989652,1.34017357,0.1,15,reviewed,tx,tx
2021-12-05T12:30:10.060Z,38.15,-117.899,11.2,2.7,ml,22,67.06,0.023,0.1177,nn,nn00829388,2021-12-06T19:17:09.154Z,"32 km SE of Mina, Nevada",earthquake,,0.6,0.54,9,reviewed,nn,nn
2021-12-05T11:10:33.750Z,34.0138333,-117.2148333,11.17,2.67,ml,174,14,0.0461,0.2,ci,ci39879567,2021-12-07T04:28:17.784Z,"6km SSW of Redlands, CA",earthquake,0.09,0.18,0.246,32,reviewed,ci,ci
2021-12-05T10:56:24.403Z,38.1635,-118.2282,7.4,3,ml,32,60.77,0.139,0.1479,nn,nn00829381,2021-12-06T18:36:37.234Z,"27 km SSW of Mina, Nevada",earthquake,,2.6,0.33,16,reviewed,nn,nn
2021-12-05T09:07:54.650Z,38.7820015,-122.768837,-0.89,2.53,md,63,60,0.01863,0.24,nc,nc73659976,2021-12-05T17:42:55.754Z,"1km WNW of The Geysers, CA",earthquake,0.26,0.76,0.13,43,automatic,nc,nc
2021-12-05T06:55:20.381Z,30.1508,-113.2774,10,4.2,mb,,139,1.416,0.6,us,us6000g97p,2021-12-05T07:37:43.040Z,"62 km WNW of La Libertad, Mexico",earthquake,5.1,2,0.199,7,reviewed,us,us
2021-12-05T02:08:28.720Z,37.7633324,-122.1606674,2.48,2.56,md,53,33,0.02187,0.11,nc,nc73659836,2021-12-07T00:49:19.468Z,"4km N of San Leandro, CA",earthquake,0.15,0.37,0.11,52,automatic,nc,nc
2021-12-05T01:35:06.300Z,44.3408333,-112.6345,7.37,3.33,ml,40,95,0.221,0.34,mb,mb80532699,2021-12-06T01:34:53.797Z,"33 km S of Lima, Montana",earthquake,0.56,1.23,0.177,33,reviewed,mb,mb
2021-12-05T01:26:57.364Z,29.8377,-113.8897,10,4.8,mb,,192,1.455,0.93,us,us6000g967,2021-12-05T02:38:56.808Z,"116 km W of La Libertad, Mexico",earthquake,8.2,2,0.062,81,reviewed,us,us
2021-12-05T01:18:08.044Z,31.64912797,-104.380951,6.388647461,2.8,ml,36,63,0.1040052602,0.3,tx,tx2021xtqp,2021-12-06T19:00:21.910Z,"58 km S of Whites City, New Mexico",earthquake,0.9361486491999998,1.160727441,0.2,20,reviewed,tx,tx
